source_sha256,source_url,corpus,format,engine,ocr,page_basis,pages,empty_pages,empty_page_ratio,nonspace_characters,nonspace_per_page,replacement_characters,manifest_status,extraction_grade,detail
4660ad015e499d087674ec35e8972acbee57d7726f1d2f592636690a96fdc826,https://www.centralbank.ie/docs/default-source/tns/events/economic-resilience-and-renewal-agenda.pdf?sfvrsn=55139e1d_1,pdf,PDF,pymupdf4llm,False,source-page,2,1,0.5,951,475.5,0,success,gappy,1/2 pages hold under 30 non-space characters (50%)
6acd5dfc685affa72911087f10f0e4d861cec39301238d39b37ddc8205299e80,https://www.centralbank.ie/docs/default-source/tns/events/the-failure-of-supervisory-stress-testing-fannie-mae-and-freddie-mac-and-ofheo.pdf?sfvrsn=8edeb71d_2,pdf,PDF,pymupdf4llm,False,source-page,119,2,0.0168,57950,487.0,137,success,garbled,137 replacement characters over 57950 non-space characters
c1e7b60c922ff627cc08ac4cc8bee58e6aa4d6e093ba1060715e2b50e0aaacfc,https://www.centralbank.ie/docs/default-source/tns/events/21_3_22_cbi-eib-esri_agenda.pdf?sfvrsn=9848901d_2,pdf,PDF,pymupdf4llm,False,source-page,2,1,0.5,991,495.5,0,success,gappy,1/2 pages hold under 30 non-space characters (50%)
a9fa078452989782a17234a7d08441663168da09e79bcd32c7a07f97619268ae,https://www.centralbank.ie/docs/default-source/careers/policies/smoke-free-workplace-policyc2da47a1-250d-4cca-b0e2-a6ac5b9094e4.pdf?sfvrsn=1f63981d_4,pdf,PDF,pymupdf4llm,False,source-page,6,2,0.3333,2999,499.8,0,success,gappy,2/6 pages hold under 30 non-space characters (33%)
aaf695be94e4fe3648b5b32db0b9ee0a6ad1bb74c0d69ba29b15bd0c5153a51d,https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/credit-unions/communications/presentations/2023-information-seminar/restructuring-update-2023.pdf?sfvrsn=f069d1d_4,pdf,PDF,pymupdf4llm,False,source-page,3,1,0.3333,1550,516.7,0,success,gappy,1/3 pages hold under 30 non-space characters (33%)
024f6748ff9d55d411c3c4fa542575b0a511b0a762467ea61cce0a4b5c45caf4,https://www.centralbank.ie/docs/default-source/publications/financial-stability-review/financial-stability/fsr-2023-ii-presentation.pdf,pdf,PDF,pymupdf4llm,False,source-page,12,4,0.3333,6428,535.7,0,success,gappy,4/12 pages hold under 30 non-space characters (33%)
0b90e5ae497cb26940d8c63dccb1c3bfe920851c4f0d2604d9908a94dc7bc744,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp76/killorglin-credit-union-response-to-cp76.pdf?sfvrsn=8c4d81d_4,pdf,PDF,pymupdf4llm,False,source-page,2,1,0.5,1143,571.5,0,success,gappy,1/2 pages hold under 30 non-space characters (50%)
2a6b9a97b6bc32ca8774e15bbdcd2c1132a638d6db4f7f7b8838dda47dbcd963,https://www.centralbank.ie/docs/default-source/tns/about---tns/freedom-of-information/media-requests/foi-2024-001527-record.pdf?sfvrsn=c955611a_1,pdf,PDF,pymupdf4llm,False,source-page,12,4,0.3333,7253,604.4,0,success,gappy,4/12 pages hold under 30 non-space characters (33%)
55d0f594eead62248d08ca661d9862f380877a28dd38bac964b4cdca5a680be3,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp88/tallaght-and-district-credit-union-response-to-cp88.pdf?sfvrsn=d1a1d81d_4,pdf,PDF,pymupdf4llm,False,source-page,5,2,0.4,3328,665.6,0,success,gappy,2/5 pages hold under 30 non-space characters (40%)
96e3e412181e3ce7b0561380788af84e24b9f92acff317692b7289e43bba05e9,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp76/arklow-credit-union-response-to-cp76.pdf?sfvrsn=fc4d81d_4,pdf,PDF,pymupdf4llm,False,source-page,3,1,0.3333,2073,691.0,0,success,gappy,1/3 pages hold under 30 non-space characters (33%)
5052968c58627de4984628dc4e1eb6b8a2ca553154992691c0a93c4cb4c8298a,https://www.centralbank.ie/docs/default-source/regulation/consumer-protection/other-codes-of-conduct/payment-account-services-list.pdf?sfvrsn=fef3ac1d_6,pdf,PDF,pymupdf4llm,False,source-page,3,1,0.3333,2095,698.3,0,success,gappy,1/3 pages hold under 30 non-space characters (33%)
208fff7247254560e057ae22f1c5c52815f0d6fed6ff26296775c0b8a111cfc1,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp142/matheson-response-to-cp142.pdf?sfvrsn=f832921d_4,pdf,PDF,pymupdf4llm,False,source-page,2,1,0.5,1406,703.0,0,success,gappy,1/2 pages hold under 30 non-space characters (50%)
20e2aab71b5bed281523156d86c4f8ed2f5d50ef88710b9c12aa5df2b4ef520b,https://www.centralbank.ie/docs/default-source/publications/discussion-papers/discussion-paper-8/eversheds-sutherland-response-to-dp8.pdf?sfvrsn=ef96b91d_2,pdf,PDF,pymupdf4llm,False,source-page,2,1,0.5,1480,740.0,0,success,gappy,1/2 pages hold under 30 non-space characters (50%)
c28366c446cda647c2162dbe9c3981aaa5f5d49c413924fcfdfe1380d354c26d,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp158/the-bottom-line-response-to-cp158.pdf?sfvrsn=a576a1a_2,pdf,PDF,pymupdf4llm,False,source-page,2,1,0.5,1497,748.5,0,success,gappy,1/2 pages hold under 30 non-space characters (50%)
b047ff77ffabead4a5d311133c9a6127cb9ca29779ca208361e7b2ce6fb162b6,https://centralbank.ie/docs/default-source/statistics/data-and-analysis/credit-and-banking-statistics/credit-and-debit-card-statistics/credit-and-debit-card-statistics-september-2016.pdf?sfvrsn=7,pdf,PDF,pymupdf4llm,False,source-page,5,2,0.4,3752,750.4,0,success,gappy,2/5 pages hold under 30 non-space characters (40%)
093d2ce7d4a2475d07fa113ba45abd0ba22a454e905c1b700ba1a0942eb7113a,https://www.centralbank.ie/docs/default-source/tns/about---tns/freedom-of-information/media-requests/foi-records-9-to-26---may-2023.pdf?sfvrsn=31dd9f1d_1,pdf,PDF,pymupdf4llm,False,source-page,64,22,0.3438,48464,757.2,0,success,gappy,22/64 pages hold under 30 non-space characters (34%)
639f41606b41625b405483b5f1585bdcdfb711cd2d2630656b27e518424e3027,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp88/piercestown-and-district-credit-union-response-to-cp88.pdf?sfvrsn=46a0d81d_4,pdf,PDF,pymupdf4llm,False,source-page,2,1,0.5,1572,786.0,0,success,gappy,1/2 pages hold under 30 non-space characters (50%)
f8954da643224d120ddae9857178ca88551eb01b20e99b6ec90b2cc35310df1c,https://www.centralbank.ie/docs/default-source/publications/discussion-papers/discussion-paper-5/lloyd's-ireland-representative-limited---discussion-paper-on-payment-of-commission-to-intermediaries.pdf?sfvrsn=4972d91d_2,pdf,PDF,pymupdf4llm,True,source-page,2,1,0.5,1608,804.0,0,success,gappy,1/2 pages hold under 30 non-space characters (50%)
326c3f36dcada1f98b9ef0b2d53f05176b0fd3140fc8cc2d61c17f801e6e9026,https://www.centralbank.ie/docs/default-source/regulation/consumer-protection/compliance-monitoring/reviews-and-research/legal-costs-on-mortgage-accounts-in-arrears-june-2021.pdf?sfvrsn=5ed8f1d_4,pdf,PDF,pymupdf4llm,False,source-page,3,1,0.3333,2571,857.0,0,success,gappy,1/3 pages hold under 30 non-space characters (33%)
a2dce0910984315355974877570722b8d057246620d54dbe0470e7caddf18cdd,https://www.centralbank.ie/docs/default-source/tns/events/mmfr-conference-agenda.pdf?sfvrsn=fc05901d_2,pdf,PDF,pymupdf4llm,False,source-page,3,1,0.3333,2741,913.7,0,success,gappy,1/3 pages hold under 30 non-space characters (33%)
77562457607b943fdbe98d56fb6776e40863537a98974e23b9b28c368aae345d,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-archive/2015/qb4-15/qb4-2015-statistical-appendix.pdf?sfvrsn=453ad11d_2,pdf,PDF,pymupdf4llm,False,source-page,3,1,0.3333,2828,942.7,0,success,gappy,1/3 pages hold under 30 non-space characters (33%)
a829b6690ac01d325c5b63e75eb4435895f2ae99bcf5e55422a72d62042fd1dd,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-archive/2016/qb2-16/qb2-2016-statistical-appendix.pdf?sfvrsn=fc77d01d_2,pdf,PDF,pymupdf4llm,False,source-page,3,1,0.3333,2828,942.7,0,success,gappy,1/3 pages hold under 30 non-space characters (33%)
0a0aaf1003dc3cee54a38285a068d11d14d7d133bd08416e4325b5871a206ec6,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp166/banking-payments-federation-ireland--response-to-cp166.pdf?sfvrsn=d48c731a_3,pdf,PDF,pymupdf4llm,False,source-page,2,1,0.5,1915,957.5,0,success,gappy,1/2 pages hold under 30 non-space characters (50%)
83ee986f57edd3e501a295f865caf66307e1ca04966079bb246bbd98ea18db64,https://www.centralbank.ie/docs/default-source/tns/about---tns/appointment-diaries/2025-governor-makhlouf's-appointment-diary-(jan---sep).pdf?sfvrsn=2fe56f1a_4,pdf,PDF,pymupdf4llm,False,source-page,53,2,0.0377,51004,962.3,118,success,garbled,118 replacement characters over 51004 non-space characters
